"","lake","date","day","atmp_C","RH_pct","irr_factor","ltmp_bot_C","ltmp_surf_C","area_m2","vol_m3","dV_m3","P_mm","E_mm","I_mm","P_m3","E_m3","I_m3","C_lake","dC_lake","C_pcpn","C_GWin","C_evap","C_ice","res_time","GWin_m3","C_lake_meas","C_lake_calc","P_lake","P_sed","ks","ks_tmp","kr","kr_tmp","dep","fd","sed","rel","TP_in"
"21","Pleasant",2018-07-19,200,20.95,74.2,0.909297426825682,16.5522916666667,27.2922083333333,546630.050577122,2661786.44192624,-2027.35270208912,2.53,8.15867804183206,0,1382.97402796012,4459.77859064912,0,0.0093578125,-2.96875000000037e-06,0,0.0391172427234927,0,0,376,5696.245232482,NA,0.0101494691439654,0.049422309168025,3.07347371508505,0.0766751903783071,0.00295420018202394,0.000470507766168617,0.0858172255275885,1.57534246575342e-05,0.496288594440157,0.000795133862539062,0.00108872334065746,0.000374921446537899
"22","Pleasant",2018-07-20,201,19.7,94.5,0.905090563325201,16.5821666666667,26.414375,547348.122258816,2669950.64605091,8164.20412467839,74.65,9.82834100742588,0,40859.5373266206,5379.52399533387,0,0.00935484375,-2.96875000000037e-06,0,0.0391172427234927,0,0,376,-33758.6047573363,NA,0.0101643093745021,0.0495812505378083,3.07317687186226,0.0766751903783071,0.00295420018202394,0.000470507766168617,0.0858172255275885,1.57534246575342e-05,0.496288594440157,0.000794237161642902,0.00109129915441612,-0.00242878756322944
"23","Pleasant",2018-07-21,202,21.75,81.25,0.900793191522627,16.7090833333333,25.76325,548533.663424562,2683429.80185404,13479.1558031295,0.25,11.0617270277471,0,137.133415856141,6067.72965033259,0,0.009351875,-2.96875000000037e-06,0,0.0391172427234927,0,0,376,6999.64797205355,NA,0.0101690603337897,0.0497471010004764,3.07288047314154,0.0766751903783071,0.00295420018202394,0.000470507766168617,0.0858172255275885,1.57534246575342e-05,0.496288594440157,0.000793083646883864,0.00110265602512453,0.000495105511204363
"24","Pleasant",2018-07-22,203,22.15,80,0.89640574115156,16.8460833333333,25.2472916666667,548239.687769641,2680087.40956139,-3342.39229265274,0,9.6804944021224,0,0,5307.23122847534,0,0.00934890625,-2.96875000000037e-06,0,0.0391172427234927,0,0,376,7127.89204670583,NA,0.0102126797829196,0.0499250147603062,3.07257155794901,0.0766751903783071,0.00295420018202394,0.000470507766168617,0.0858172255275885,1.57534246575342e-05,0.496288594440157,0.000795274195196399,0.0011150518558994,0.000490562307335997
"25","Pleasant",2018-07-23,204,22.2,74.6,0.89192865095338,17.05525,25.38925,548085.471032633,2678334.02344066,-1753.38612073055,0,4.92178385364195,0,0,2697.55822174416,0,0.0093459375,-2.96874999999863e-06,0,0.0391172427234927,0,0,376,7123.22878574644,NA,0.01025487694973,0.0501125961046027,3.07225237198588,0.0766751903783071,0.00295420018202394,0.000470507766168617,0.0858172255275885,1.57534246575342e-05,0.496288594440157,0.00079889461270206,0.00113430295223411,0.000441678075884543
"26","Pleasant",2018-07-24,205,21.75,73,0.887362368633375,17.270375,25.7160833333333,547820.411015902,2675320.39104566,-3013.63239500439,0,3.14640597315437,0,0,1723.66541343631,0,0.00934296875,-2.96875000000037e-06,0,0.0391172427234927,0,0,376,7115.21380597249,NA,0.0103029677851382,0.0503152844428547,3.07191753017469,0.0766751903783071,0.00295420018202394,0.000470507766168617,0.0858172255275885,1.57534246575342e-05,0.496288594440157,0.000803415280544946,0.00115444671533769,0.000422890281296717
"27","Pleasant",2018-07-25,206,20.75,74.35,0.882707350815974,17.4765416666667,25.791,547680.652097988,2673731.38487373,-1589.0061719222,12.95,4.19528978152311,0,7092.46444466894,2297.6790432846,0,0.00934,-2.96875000000037e-06,0,0.0391172427234927,0,0,376,18.5232810590718,0.00934,0.0103509345954989,0.0505324016554981,3.07156640031317,0.0766751903783071,0.00295420018202394,0.000470507766168617,0.0858172255275885,1.57534246575342e-05,0.496288594440157,0.000807334080289206,0.0011740756840031,-7.34715359590666e-05
"28","Pleasant",2018-07-26,207,18.3,82.1,0.877964062999078,17.7501666666667,25.2645416666667,548548.121243656,2683594.18180285,9862.79692911869,0.25,9.2528438934721,0,137.137030310914,5075.63013392495,0,0.00945285714285714,0.000112857142857144,0,0.0391172427234927,0,0,376,7000.08153831369,NA,0.0103768491931579,0.0507653768954117,3.07120029642849,0.0766751903783071,0.00295420018202394,0.000470507766168617,0.0858172255275885,1.57534246575342e-05,0.496288594440157,0.000808099392214426,0.00120068272120017,0.000476031223067666
"29","Pleasant",2018-07-27,208,18.3,75.7,0.873132979507516,17.7639166666667,24.6330833333333,548152.940855074,2679101.12986848,-4493.05193437636,0.25,11.0697855186658,0,137.038235213768,6067.93548669157,0,0.00956571428571429,0.000112857142857142,0,0.0391172427234927,0,0,376,6988.23072720239,NA,0.0104395968022224,0.0510235985317828,3.07080837546796,0.0766751903783071,0.00295420018202394,0.000470507766168617,0.0858172255275885,1.57534246575342e-05,0.496288594440157,0.000811472933197142,0.00120188936207338,0.000494431012576646
"30","Pleasant",2018-07-28,209,18.3,72.15,0.868214583445613,17.9342916666667,24.5599166666667,547849.326654089,2675649.15094327,-3451.97892520251,0,6.12063208321221,0,0,3353.18416548522,0,0.00967857142857143,0.000112857142857144,0,0.0391172427234927,0,0,376,7116.08816740232,NA,0.010499551739744,0.0512789106985047,3.07041856476294,0.0766751903783071,0.00295420018202394,0.000470507766168617,0.0858172255275885,1.57534246575342e-05,0.496288594440157,0.000815957120839586,0.00121871290652271,0.000452148133693147
